Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2015-09-18;18:15:27;-31.30;-72.10;2; ;mb;5.0;OFFSHORE COQUIMBO, CHILE;2015-09-19 09:34;460098;
2015-09-18;15:59:42;15.30;-46.02;10; ;Mw;6.0;NORTHERN MID-ATLANTIC RIDGE;2015-09-21 07:41;460085;
2015-09-18;09:10:45;-32.40;-72.14;10; ;Mw;6.1;OFFSHORE VALPARAISO, CHILE;2015-09-18 14:28;460037;
2015-09-18;08:18:19;-32.25;-72.30;20;f;Mw;5.4;OFFSHORE VALPARAISO, CHILE;2015-09-18 14:19;460032;
2015-09-18;04:24:02;-31.35;-72.08;10;f;mb;5.2;OFFSHORE COQUIMBO, CHILE;2015-09-18 07:43;459994;
2015-09-18;03:32:18;-31.75;-71.94;15;f;mb;5.0;OFFSHORE COQUIMBO, CHILE;2015-09-18 07:41;459990;
2015-09-18;03:15:39;-31.41;-71.57;30;f;mb;5.1;COQUIMBO, CHILE;2015-09-18 07:40;459984;
2015-09-17;22:39:19;-31.02;-71.85;20; ;mb;5.1;OFFSHORE COQUIMBO, CHILE;2015-09-18 07:28;459944;
2015-09-17;22:08:04;-30.27;-72.20;10;f;mb;5.0;OFFSHORE COQUIMBO, CHILE;2015-09-18 07:27;459939;
2015-09-17;20:40:31;-29.94;-71.76;5;f;mb;5.4;OFFSHORE COQUIMBO, CHILE;2015-09-18 07:23;459925;
2015-09-17;16:52:17;-29.76;-72.05;10;f;mb;5.1;OFFSHORE COQUIMBO, CHILE;2015-09-18 07:11;459892;
2015-09-17;16:46:21;-31.44;-71.87;10; ;mb;5.2;OFFSHORE COQUIMBO, CHILE;2015-09-18 07:09;459888;
2015-09-17;16:08:35;-30.83;-71.36;40;f;mb;5.3;COQUIMBO, CHILE;2015-09-18 07:08;459886;
2015-09-17;14:19:15;-30.88;-71.95;10; ;mb;5.5;OFFSHORE COQUIMBO, CHILE;2015-09-18 07:00;459865;
2015-09-17;13:32:27;-32.20;-72.30;20;f;Mw;5.9;OFFSHORE VALPARAISO, CHILE;2015-09-18 06:59;459859;
2015-09-17;12:14:40;-32.19;-72.17;10;f;mb;5.4;OFFSHORE VALPARAISO, CHILE;2015-09-18 06:51;459846;
2015-09-17;12:09:44;-32.14;-72.09;10;f;mb;5.2;OFFSHORE COQUIMBO, CHILE;2015-09-17 14:50;459844;
2015-09-17;10:31:26;-30.97;-71.43;43; ;mb;5.3;COQUIMBO, CHILE;2015-09-17 14:47;459826;
2015-09-17;10:12:52;-30.62;-71.84;10;f;mb;5.1;OFFSHORE COQUIMBO, CHILE;2015-09-17 14:46;459822;
2015-09-17;08:58:43;53.29;159.72;60; ;mb;5.5;NEAR EAST COAST OF KAMCHATKA;2015-09-17 12:17;459809;
2015-09-17;08:32:44;-31.58;-71.40;40; ;mb;5.1;COQUIMBO, CHILE;2015-09-17 12:15;459804;
